23880, Note_on_c,84,96
24221, Note_on_c,72,0
24221, Note_on_c,84,0
24240, Note_on_c,71,96
24240, Note_on_c,83,96
24467, Note_on_c,71,0
24467, Note_on_c,83,0
24480, Note_on_c,72,96
24480, Note_on_c,84,96
24821, Note_on_c,72,0
24821, Note_on_c,84,0
24840, Note_on_c,67,96
24840, Note_on_c,79,96
25181, Note_on_c,67,0
25181, Note_on_c,79,0
25200, Note_on_c,64,96
25200, Note_on_c,76,96
25427, Note_on_c,64,0
25427, Note_on_c,76,0
25440, Note_on_c,69,96
25440, Note_on_c,72,96
25781, Note_on_c,69,0
25781, Note_on_c,72,0
25800, Note_on_c,71,96
25800, Note_on_c,74,96
26141, Note_on_c,71,0
26141, Note_on_c,74,0
26160, Note_on_c,72,96
26160, Note_on_c,76,96
26387, Note_on_c,72,0
26387, Note_on_c,76,0
26400, Note_on_c,71,96
26400, Note_on_c,74,96
29135, Note_on_c,71,0
29135, Note_on_c,74,0
29280, Note_on_c,67,96
29280, Note_on_c,72,96
29280, Note_on_c,76,96
30191, Note_on_c,67,0
30191, Note_on_c,72,0
30191, Note_on_c,76,0
30240, Note_on_c,69,96
30240, Note_on_c,72,96
30240, Note_on_c,77,96
30923, Note_on_c,69,0
30923, Note_on_c,72,0
30923, Note_on_c,77,0
30960, Note_on_c,72,96
30960, Note_on_c,76,96
31073, Note_on_c,72,0
31073, Note_on_c,76,0
31080, Note_on_c,74,96
31080, Note_on_c,77,96
31193, Note_on_c,74,0
31193, Note_on_c,77,0
31200, Note_on_c,74,96
31200, Note_on_c,79,96
31541, Note_on_c,74,0
31541, Note_on_c,79,0
31560, Note_on_c,79,96
31560, Note_on_c,84,96
31901, Note_on_c,79,0
31901, Note_on_c,84,0
31920, Note_on_c,80,96
31920, Note_on_c,86,96
32147, Note_on_c,80,0
32147, Note_on_c,86,0
32160, Note_on_c,76,96
32160, Note_on_c,81,96
32160, Note_on_c,84,96
32843, Note_on_c,76,0
32843, Note_on_c,81,0
32843, Note_on_c,84,0
32880, Note_on_c,60,96
32880, Note_on_c,72,96
32993, Note_on_c,60,0
32993, Note_on_c,72,0
33000, Note_on_c,62,96
33000, Note_on_c,74,96
33113, Note_on_c,62,0
33113, Note_on_c,74,0
33120, Note_on_c,65,96
33120, Note_on_c,77,96
33461, Note_on_c,65,0
33461, Note_on_c,77,0
33480, Note_on_c,64,96
33480, Note_on_c,76,96
33821, Note_on_c,64,0
33821, Note_on_c,76,0
33840, Note_on_c,62,96
33840, Note_on_c,74,96
34067, Note_on_c,62,0
34067, Note_on_c,74,0
34080, Note_on_c,60,96
34080, Note_on_c,72,96
34535, Note_on_c,60,0
34535, Note_on_c,72,0
34560, Note_on_c,67,96
34560, Note_on_c,79,96
36383, Note_on_c,67,0
36383, Note_on_c,79,0
36720, Note_on_c,60,96
36720, Note_on_c,72,96
36833, Note_on_c,60,0
36833, Note_on_c,72,0
36840, Note_on_c,62,96
36840, Note_on_c,74,96
36953, Note_on_c,62,0
36953, Note_on_c,74,0
36960, Note_on_c,65,96
36960, Note_on_c,77,96
37301, Note_on_c,65,0
37301, Note_on_c,77,0
37320, Note_on_c,64,96
37320, Note_on_c,76,96
37661, Note_on_c,64,0
37661, Note_on_c,76,0
37680, Note_on_c,62,96
37680, Note_on_c,74,96
37907, Note_on_c,62,0
37907, Note_on_c,74,0
37920, Note_on_c,60,96
37920, Note_on_c,72,96
38375, Note_on_c,60,0
38375, Note_on_c,72,0
38400, Note_on_c,55,96
38400, Note_on_c,67,96
40223, Note_on_c,55,0
40223, Note_on_c,67,0
40800, Note_on_c,55,96
40800, Note_on_c,67,96
40951, Note_on_c,55,0
40951, Note_on_c,67,0
40960, Note_on_c,60,96
40960, Note_on_c,72,96
41111, Note_on_c,60,0
41111, Note_on_c,72,0
41120, Note_on_c,64,96
41120, Note_on_c,76,96
41271, Note_on_c,64,0
41271, Note_on_c,76,0
41280, Note_on_c,67,96
41280, Note_on_c,79,96
41431, Note_on_c,67,0
41431, Note_on_c,79,0
41600, Note_on_c,64,96
41600, Note_on_c,76,96
41751, Note_on_c,64,0
41751, Note_on_c,76,0
41760, Note_on_c,67,96
41760, Note_on_c,72,96
41760, Note_on_c,76,96
41760, Note_on_c,79,96
42671, Note_on_c,67,0
42671, Note_on_c,72,0
42671, Note_on_c,76,0
42671, Note_on_c,79,0
42720, Note_on_c,67,96
42720, Note_on_c,72,96
42720, Note_on_c,76,96
42720, Note_on_c,79,96
44543, Note_on_c,67,0
44543, Note_on_c,72,0
44543, Note_on_c,76,0
44543, Note_on_c,79,0
